QuestionID,Difficulty_Points,Question,Keywords,Answer,Category,Language,Challenge,StarterCode,ExpectedOutput
75,15,¿Qué es un constructor en POO?,"""constructor, inicialización, clase, objeto, POO, propiedades""","Es un método especial que se ejecuta automáticamente al crear un objeto de una clase, inicializando sus atributos.",oop,Spanish,FALSE,,
76,35,¿Qué es un destructor en POO?,"""destructor, clase, objeto, liberar, memoria, recursos, POO""","Es un método especial que se ejecuta cuando un objeto es destruido o ya no es utilizado, liberando recursos.",oop,Spanish,FALSE,,
77,35,¿Qué es la sobrecarga en POO?,"""métodos, parámetros, POO, polimorfismo, múltiples""",Es la capacidad de definir múltiples métodos con el mismo nombre pero con diferentes parámetros.,oop,Spanish,FALSE,,
78,35,¿Qué es la abstracción en POO?,"""abstracción, ocultar, complejidad, detalles, esenciales, POO, clases, interfaces""",Es el proceso de ocultar detalles complejos y mostrar solo la funcionalidad esencial de un objeto o clase.,oop,Spanish,FALSE,,
79,35,¿Qué es la herencia en POO?,"""herencia, clases, superclase, subclase, atributos, métodos, POO, reutilización""",Es el mecanismo que permite que una clase adquiera atributos y métodos de otra clase.,oop,Spanish,FALSE,,
80,35,¿Qué es el encapsulamiento en POO?,"""encapsulamiento, ocultar, datos, métodos, acceso, restricción, POO, clase, privado, público""","Es el principio que restringe el acceso directo a los atributos y métodos de un objeto, exponiendo solo lo necesario.",oop,Spanish,FALSE,,
81,15,¿Qué es una variable local?,"""variable local, función, bloque, contexto, alcance, acceso, temporal""","Es una variable definida dentro de una función o bloque de código, accesible solo dentro de ese contexto.",oop,Spanish,FALSE,,
82,15,¿Qué es una variable global?,"""variable global, programa, alcance, acceso, externa, permanente, contexto""","Es una variable definida fuera de cualquier función o clase, accesible desde cualquier parte del programa.",oop,Spanish,FALSE,,
83,15,How do you write a single-line comment in JavaScript?,"""single-line comment, JavaScript, //, syntax, comment""",Use // before the comment text.,javascript,English,FALSE,,
84,15,What does === operator do in JavaScript?,"""=== operator, strict equality, comparison, type, value, JavaScript""","It checks for strict equality, meaning both the value and type must be the same.",javascript,English,FALSE,,
85,15,How do you create an array in JavaScript?,"""create, array, JavaScript, [], elements, initialization""","Use square brackets: let arr = [1, 2, 3];",javascript,English,FALSE,,
86,15,How do you find the length of a string in JavaScript?,"""find, length, string, JavaScript, length property, size""",Use the length property: str.length,javascript,English,FALSE,,
87,15,What is the difference between null and undefined?,"""null, undefined, JavaScript, difference, type, value, absence""",null is an assignment value. undefined means a variable has been declared but not yet assigned a value.,javascript,English,FALSE,,
88,15,How do you create a function in JavaScript?,"""create, function, JavaScript, function declaration, function expression""",Use the function keyword: function myFunction() { },javascript,English,FALSE,,
89,15,What does the push method do in an array?,"""push method, array, add, element, end, JavaScript""",It adds one or more elements to the end of an array and returns the new length.,javascript,English,FALSE,,
90,15,How do you convert a string to an integer in JavaScript?,"""convert, string, integer, JavaScript, parseInt(), Number()""","Use parseInt(): parseInt(""123"");",javascript,English,FALSE,,
91,15,What is an anonymous function in JavaScript?,"""anonymous function, JavaScript, function, no name, expression, callback""",A function without a name: function() { },javascript,English,FALSE,,
92,15,How can you create a deep copy of an object in JavaScript?,"""deep copy, object, JavaScript, JSON.parse(), JSON.stringify(), clone, reference""",Use JSON.parse(JSON.stringify(obj)) or a recursive function to copy all nested objects and arrays.,javascript,English,FALSE,,
93,35,What is the use of the async and await keywords?,"""async, await, JavaScript, asynchronous, promises, keywords, handling""","async declares a function that returns a Promise, and await pauses execution of the function until the Promise is resolved.",javascript,English,FALSE,,
94,35,What is the event loop in JavaScript?,"""event loop, JavaScript, asynchronous, tasks, call stack, execution, queue""","The event loop handles execution of multiple chunks of code, allowing non-blocking asynchronous callbacks to be executed.",javascript,English,FALSE,,
95,35,What is the purpose of the bind method in JavaScript?,"""bind method, JavaScript, bind(), this, function, context, method""","bind creates a new function with a specified this value and initial arguments, which can be invoked later.",javascript,English,FALSE,,
96,35,Explain the concept of prototypal inheritance in JavaScript.,"""prototypal inheritance, JavaScript, prototype, inheritance, objects, chain""",Prototypal inheritance is a feature in JavaScript where objects can inherit properties and methods from other objects. This is achieved via the prototype chain.,javascript,English,FALSE,,
97,35,What are generators in JavaScript and how do they differ from regular functions?,"""generators, JavaScript, generator functions, yield, regular functions, pause, resume""","Generators are functions that can be paused and resumed, using function* syntax and yield keyword. They return an iterator object.",javascript,English,FALSE,,
98,35,What is the difference between synchronous and asynchronous execution in JavaScript?,"""synchronous, asynchronous, JavaScript, execution, difference, blocking, non-blocking""","Synchronous execution blocks the program until the current operation completes, while asynchronous execution allows the program to continue running other tasks without waiting for the current operation to complete.",javascript,English,FALSE,,
99,35,How do you handle errors in JavaScript using try-catch-finally blocks?,"""handle errors, JavaScript, try-catch-finally, exception, error handling""","try encloses code that may throw an error, catch handles the error if it occurs, and finally executes code after try-catch regardless of whether an error occurred.",javascript,English,FALSE,,
100,35,What is the event loop and how does it work with the call stack and task queue in JavaScript?,"""event loop, call stack, task queue, JavaScript, asynchronous, execution""","The event loop continuously checks the call stack and the task queue. If the call stack is empty, it pushes the first task from the queue to the call stack for execution.",javascript,English,FALSE,,
101,35,How does the this keyword behave in different contexts in JavaScript?,"""this keyword, JavaScript, behavior, context, function, object""","this refers to the context in which a function is called. In global scope, it refers to the global object; in a method, it refers to the object; in a constructor, it refers to the newly created instance.",javascript,English,FALSE,,
102,35,What are JavaScript modules and how do you use them?,"""JavaScript modules, import, export, encapsulation, modular code""",JavaScript modules allow code to be divided into separate files and exported/imported using export and import keywords for better maintainability and reusability.,javascript,English,FALSE,,
103,65,What is the purpose of the Reflect API in JavaScript?,"""Reflect API, JavaScript, Reflect, object operations, method, meta-programming""","The Reflect API provides methods for interceptable JavaScript operations, mirroring methods of the Object API but with a more direct way of controlling them.",javascript,English,FALSE,,
104,65,"What are the differences between Object.freeze(), Object.seal(), and Object.preventExtensions()?","""Object.freeze(), Object.seal(), Object.preventExtensions(), JavaScript, differences, immutability, restrictions""",Object.freeze() makes an object immutable. Object.seal() prevents adding or removing properties but allows modification of existing properties. Object.preventExtensions() prevents adding new properties but allows deletion and modification of existing ones.,javascript,English,FALSE,,
105,65,Explain the concept of an Immediately Invoked Function Expression (IIFE) and its uses.,"""Immediately Invoked Function Expression, IIFE, JavaScript, function, execution, scope, uses""","An IIFE is a function that runs as soon as it is defined, using the syntax (function() { /* code */ })();. It is used to create a local scope to avoid polluting the global scope.",javascript,English,FALSE,,
106,65,What is a closure in JavaScript?,"""closure, JavaScript, function, scope, lexical environment, access, variables""","A closure is a function that retains access to its lexical scope, even when the function is executed outside that scope.",javascript,English,FALSE,,
107,65,"Explain the concept of ""hoisting"" in JavaScript.","""hoisting, JavaScript, variables, functions, declaration, memory, execution""","Hoisting is JavaScript's default behavior of moving declarations to the top of the current scope, making them accessible before the point of declaration.",javascript,English,FALSE,,
108,65,What is the difference between call and apply methods?,"""call method, apply method, JavaScript, function, arguments, context, difference""","call invokes a function with a given this value and arguments provided individually, while apply does so with arguments provided as an array.",javascript,English,FALSE,,
109,65,How does event delegation work in JavaScript?,"""event delegation, JavaScript, event handling, bubbling, parent, child elements""","Event delegation uses a single event listener on a parent element to manage events for its child elements, leveraging event bubbling.",javascript,English,FALSE,,
110,65,What is the purpose of the Promise object in JavaScript?,"""Promise object, JavaScript, asynchronous, handling, resolve, reject, state""",A Promise represents the eventual completion (or failure) of an asynchronous operation and its resulting value.,javascript,English,FALSE,,
111,65,What is the difference between == and === in JavaScript?,"""==, ===, JavaScript, comparison, equality, type, coercion, strict equality""","""=="" checks for equality after type coercion, whereas === checks for strict equality without type conversion.",javascript,English,FALSE,,
112,65,What is the use of the let keyword in JavaScript?,"""let keyword, JavaScript, block scope, variables, declaration, ES6""","let is used to declare a block-scoped variable, which can be reassigned.",javascript,English,FALSE,,
113,50,Write a function to check if a number is even or odd.,,function isEvenOrOdd(num) { return num % 2 === 0 ? 'even' : 'odd'; },javascript,English,TRUE,function isEvenOrOdd(num) { \n // Your code here \n },"[{""input"": ""4"", ""output"": ""even""}, {""input"": ""7"", ""output"": ""odd""}]"
114,50,Write a function to sum all numbers in an array.,,"function sumArray(arr) { return arr.reduce((a, b) => a + b, 0); }",javascript,English,TRUE,function sumArray(arr) { \n // Your code here \n },"[1, 2, 3, 4, 5]"", ""output"": ""15""}]"
115,50,Write a function that takes an array and returns a new array with duplicate elements removed.,,,javascript,English,TRUE,"function removeDuplicates(arr) {
    \n // Your code here \n 
}

","[{""input"": [1, 2, 2, 3, 4, 4],""output"": [1, 2, 3, 4]}]"
116,50,Write a function that takes a string as input and returns the string reversed.,,,javascript,English,TRUE,"function reverseString(str) {
    }

const result = reverseString(""hello"");
console.log(result);","{
    ""input"": ""hello"",
    ""output"": ""olleh""
}"
117,50,Write a function that takes an array of numbers and returns the largest number.,,,javascript,English,TRUE,"function isEven(num) {
    
}

const result = isEven(7);
console.log(result);","{
    ""input"": 7,
    ""output"": ""odd""
}"
118,50,"Write a function that takes a number as input and returns ""even"" if the number is even and ""odd"" if the number is odd.",,,javascript,English,TRUE,"function findLargest(arr) {
    
}

const result = findLargest([1, 5, 3, 9, 2]);
console.log(result);
","{
    ""input"": [1, 5, 3, 9, 2],
    ""output"": 9
}
"
119,50,Write a function that takes an array of numbers and returns the sum of all the numbers.,,,javascript,English,TRUE,"function sumArray(arr) {
    
}

const result = sumArray([1, 2, 3, 4, 5]);
console.log(result);","{
    ""input"": [1, 2, 3, 4, 5],
    ""output"": 15
}"
120,15,¿Cómo se escribe un comentario de una sola línea en JavaScript?,"""comentario de una sola línea, JavaScript, //, sintaxis, comentario""","En JavaScript, un comentario de una sola línea se escribe con //.",javascript,Spanish,FALSE,,
121,15,¿Qué hace el operador === en JavaScript?,"""operador ===, igualdad estricta, comparación, tipo, valor, JavaScript""","El operador === en JavaScript verifica la igualdad estricta, comparando tanto el valor como el tipo.",javascript,Spanish,FALSE,,
122,15,¿Cómo se crea un array en JavaScript?,"""crear, array, JavaScript, [], elementos, inicialización""",Un array en JavaScript se crea utilizando corchetes [] para definir los elementos.,javascript,Spanish,FALSE,,
123,15,¿Cómo se obtiene la longitud de una cadena en JavaScript?,"""obtener, longitud, cadena, JavaScript, propiedad length, tamaño, lenght""","Para obtener la longitud de una cadena en JavaScript, se utiliza la propiedad length.",javascript,Spanish,FALSE,,
124,15,¿Cuál es la diferencia entre null y undefined en JavaScript?,"""null, undefined, JavaScript, diferencia, tipo, valor, ausencia""","null es un valor asignado intencionalmente para indicar la ausencia de valor, mientras que undefined significa que una variable no ha sido inicializada.",javascript,Spanish,FALSE,,
125,15,¿Cómo se crea una función en JavaScript?,"""crear, función, JavaScript, declaración de función, expresión de función, parentesis, (), function""","En JavaScript, una función se crea usando la palabra clave function seguida de un nombre y paréntesis.",javascript,Spanish,FALSE,,
126,15,¿Qué hace el método push en un array?,"""método push, array, agregar, elemento, final, JavaScript""",El método push en JavaScript agrega uno o más elementos al final de un array.,javascript,Spanish,FALSE,,
127,15,¿Cómo se convierte una cadena en un entero en JavaScript?,"""convertir, cadena, entero, JavaScript, parseInt(), Number()""","En JavaScript, puedes convertir una cadena en un entero utilizando parseInt() o Number().",javascript,Spanish,FALSE,,
128,15,¿Qué es una función anónima en JavaScript?,"""función anónima, JavaScript, función, sin nombre, expresión, callback, argumento, argumentos""",Una función anónima es una función sin nombre que se asigna generalmente a una variable o se pasa como argumento.,javascript,Spanish,FALSE,,
129,15,¿Cómo puedes crear una copia profunda de un objeto en JavaScript?,"""copia profunda, objeto, JavaScript, JSON.parse(), JSON.stringify(), clonar, referencia""",Puedes crear una copia profunda de un objeto en JavaScript usando JSON.parse() y JSON.stringify().,javascript,Spanish,FALSE,,
130,35,¿Cuál es el uso de las palabras clave async y await en JavaScript?,"""async, await, JavaScript, asincrónico, promesas, palabras clave, manejo""","async y await se usan en JavaScript para manejar código asincrónico de forma más legible, permitiendo que las promesas se resuelvan antes de continuar con el flujo del código.",javascript,Spanish,FALSE,,
